"temp_room_id","spot_id","room_code","room_title","room_size_pyeong","room_size_square_meter","room_count","base_count","max_count","offseason_weekday_min_fee","offseason_weekend_min_fee","peak_season_weekday_min_fee","peak_season_weekend_min_fee","room_intro","has_bath_facility","has_bath","has_home_theater","has_air_condition","has_tv","has_pc","has_cable","has_internet","has_refrigerator","has_toiletries","has_sofa","has_cook","has_table","has_hairdryer"
1,3102030,,한옥독채,"30","99.2","1","4","10","0","0","0","0",,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y
1,3102108,,독채,"13","43","1","2","4","400000","500000","450000","550000",,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y
1,3102089,,본채,"10","33.1","2","2","3","200000","240000","270000","300000",,Y,Y,,Y,Y,,Y,Y,Y,Y,,,,Y
2,3102089,,사랑채,"13","43","2","2","3","300000","350000","400000","450000",,Y,Y,,Y,Y,,Y,Y,Y,Y,,,,Y
3,3102089,,안채,"20","66.2","1","2","4","350000","400000","500000","550000",,Y,Y,,Y,Y,,Y,Y,Y,Y,,,,Y
4,3102089,,별채,"10","33.1","2","2","2","190000","230000","250000","270000",,Y,Y,,Y,Y,,Y,Y,Y,Y,,,,Y
1,3044584,,트윈룸(2인실),"5","16","5","2","2","60000","100000","60000","100000",,Y,,,Y,,,,,,,,,,Y
2,3044584,,싱글룸 (1인실),"4","13","1","1","1","40000","60000","40000","60000",,Y,,,Y,,,,,,,,,,Y
3,3044584,,트리플룸(3인실),"6","19","1","3","3","80000","140000","80000","140000",,Y,,,,,,,,,,,,,Y
1,3102224,,HILLS_B,"28","93","1","2","6","280000","450000","500000","600000",,Y,Y,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y
2,3102224,,HILLS_카라반,"6","23","1","2","3","150000","220000","200000","270000","탁 트인 전망, 넓은 야외수영장, 감성의 불멍, 야외 바비큐장 등의 세심한배려가 더해진 카라반에서 캠핑의 낭만과 즐거움을 경험하실수 있습니다.",Y,,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y
3,3102224,,HILLS_A,"28","93","1","2","6","280000","450000","500000","600000","화이트톤의 아늑하고 고급스런 인테리어와 취사가 가능한 넓은 키친 시설, 심신의 피로를 풀 수 있는 온수 자쿠지, 넓은 야외 수영장과 특급 서비스가 겸비된 객실은 실속형 여행객은 물론 장기 투숙객에게 안성맞춤인 객실입니다.",Y,Y,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y
1,3102074,,알천스테이(독채),"10","33","1","2","4","250000","380000","0","0",전통한옥을 정성으로 수선하여 현대적인 감각으로 재탄생한 알천스테이는 경주 여행하기에 최적이라 자부합니다. 고즈넉한 감성을 느낄 수 있고 편안한 힐링의 공간을 제공합니다.,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y
1,3049899,,스탠다드 더블,"0","0","0","2","2","0","0","0","0",,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
2,3049899,,슈페리어 트윈,"10","33","0","2","4","0","0","0","0",,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
3,3049899,,프리미엄 스위트 트윈-복층,"0","0","0","2","8","0","0","0","0",,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
4,3049899,,패밀리 트윈,"0","0","0","2","4","0","0","0","0",,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
