"spot_id","name","img","content","address","can_parking","can_pet","crowd_level","overview","homepage","map_x","map_y","content_id","content_type_id","tel"
2910116,라라캠핑장,http://tong.visitkorea.or.kr/cms/resource/96/2910096_image2_1.jpg,,경상북도 경주시 서왕길 381-14,,,,라라캠핑장은 경북 경주시 양남면 신대리에 자리 잡았다. 경주시청을 기점으로 40㎞가량 떨어졌다. 자동차를 타고 신대로와 서왕길을 번갈아 달리면 닿는다. 도착까지 걸리는 시간은 60분 안팎이다. 캠핑장은 산속 숲에 위치한 덕분에 더없이 자연친화적인 느낌이다. 인근에 계곡이 있어 물놀이로 한여름 무더위를 날리기 좋다. 캠핑장에는 파쇄석으로 이뤄진 오토캠핑 사이트 23면이 마련돼 있다. 사이트 크기는 가로 9m 세로 8m 등 여러 가지다. 주변에 관성솔밭해변과 하서항이 있어 연계 관광이 용이하다.,"<a href=""https://cafe.naver.com/lalacamp""target=""_blank"" title=""새창 : 경주양남라라캠핑장 네이버카페로 이동"">https://cafe.naver.com/lalacamp</a>",129.3963642113,35.687766642,2910116,28,
2904463,장터밥상,https://tong.visitkorea.or.kr/cms/resource/59/2904459_image2_1.jpg,,경상북도 경주시 동해안로 1998,,,,"장터밥상은 경상북도 경주시 감포읍 전촌리에 위치하고 있다. 깔끔한 외관과 고급스러운 분위기를 연출하는 인테리어가 눈에 띈다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기 좋다. 대표 메뉴는 연탄불고기백반이다. 이 밖에 마늘보쌈 정식, 마늘보쌈백반, 마늘보쌈수육, 안창국밥, 돼지국밥 등이 준비되어 있다. 인근에 전촌솔밭해변, 전촌항, 용굴, 감포해상공원 등의 관광지가 자리하고 있어 함께 관광하기 좋다.",,129.4908076415,35.7855163623,2904463,39,
127693,골굴사(경주),https://tong.visitkorea.or.kr/cms/resource/89/4075489_image2_1.jpg,,경상북도 경주시 문무대왕면 기림로 101-5,,,,"골굴사는 경주시의 함월산에 위치한 사찰로 선무도(禪武道)의 총본산으로 한국의 소림사라는 별명이 있다. 약 1,500여 년 전 인도에서 온 광유 선인 일행이 경주 함월산에 정착하면서 골굴사와 기림사를 창건하였는데, 골굴사는 광유스님 일행이 인도를 본떠 석굴사원 형태로 조성한 국내에서 가장 오래된 석굴사원이다. 함월산 기슭의 골굴암에는 수십 미터 높이의 거대한 응회암에 12개의 석굴이 나있으며, 암벽 제일 높은 곳에는 돋을새김으로 새긴 마애불상이 있다.",http://www.golgulsa.com,129.406572,35.802359,127693,12,
1492402,경주 대릉원 일원,https://tong.visitkorea.or.kr/cms/resource/71/4056771_image2_1.jpg,,경상북도 경주시 황남동 31-1,,,,"경주 대릉원은 경주시 노동동과 황남동에 있는 신라 시대의 고분군을 말하며 노동동 고분군, 노서리 고분군, 황남동 고분군, 황오동 고분군, 인왕동 고분군으로 구성되어 있다. 노동동 고분군은 고신라 시대 무덤들로, 봉황대, 식리총, 금령총 등이 포함되어 있다.
봉황대는 밑둘레 230m, 직경 82m, 높이 22m로 황남대총 다음으로 규모가 큰 무덤으로 덧널을 설치한 돌무지덧널무덤이다. 노서리 고분군은 넓은 평지에 크고 작은 고분 14기가 있다. 노동리의 봉황대 고분과 더불어 규모가 있고 쌍벽을 이루는 제130호 고분을 비롯해 1921년에 금관이 출토된 금관총, 1926년에 일본 방문 길에 스웨덴의 황태자이며 고고학자인 구스타프 6세 아돌프가 들러 발굴을 조사 참관한 서봉총이 있다. 1946년에 고구려 광개토왕의 이름이 새겨진 청동 그릇이 발견됐으며 신라 고분 연대 추정에 도움을 준 호우총과 은평총, 쌍상총, 마총 등도 있다. 쌍상총에서 토기 조각, 마총에서 말뼈와 안장 조각이 출토됐다. 황남동 고분군은 신라초기의 무덤들로 일부가 대릉원 구역 안에 있다. 원형으로 흙을 쌓아 올린 30기의 무덤이다. 큰 무덤은 돌무지덧널무덤이고 주변에는 봉문이 없어진 작은 무덤이 있다. 대릉원 안에는 전 미추왕릉을 비롯하여 천마총과 황남대총 등이 있다. 천마총은 1973년 4월 6일부터 12월 4일까지 발굴조사됐다. 천마총은 지름 47m, 높이 12.7m로 금관을 비롯하여 많은 유물이 나왔다. 당시 천마도가 그려진 말안장 드리개가 출토되었기 때문에 천마총이라 이름 짓고 내부를 공개하고 있다.  황오동 고분군은 크고 작은 신라시대 무덤들이 밀집되어 있다. 오랜 세월 관리가 되지 않아 봉분이 많이 손상되었으나, 현재 고분 형태 유지가 확인되는 것만 10여 기에 달한다. 이 무덤들은 인접 지역에서 발굴된 무덤 구조로 미루어 볼 때 주로 4~5세기경의 왕족 또는 귀족을 묻은 돌무지 덧널무덤으로 추정한다.
인왕동 고분군은 경주 중심부 평야지대에 남아 있는 고분군 중 가장 동편에 위치하고 있다. 일제 강점기 때 13기의 봉토분이 확인되었고 새로 10기의 고분이 더 분포하고 있는 것으로 조사되었다. 고분 중 일부를 발굴조사 했는데, 삼한과 삼국시대의 무덤 양식이 확인됐다. 이른 시기부터 무덤이 축조되기 시작했음을 알 수 있다. 봉토가 남아 있는 삼국시대 고분들은 대부분 돌무지덧널무덤으로 출토유물이나 유구의 크기 등으로 보아 신라 귀족들의 무덤으로 추정된다.   

◎ 한류의 매력을 만나는 여행 정보 - 드라마 
에서 보라가 수학여행 자유시간을 보낸 곳으로 고분들이 밀집된 공원이다. 약 20여 기의 큰 고분들이 마치 능선을 그리는 것처럼 몽환적인 분위기를 형성한다. 고분 사이에 목련 나무 한 그루가 서 있는 곳이 포토존으로 유명하다. 유일하게 내부를 공개하는 천마총도 함께 둘러보는 것을 추천한다.",경주문화관광 http://www.gyeongju.go.kr/tour국가유산청 https://www.heritage.go.kr/,129.2128,35.8382,1492402,12,
3336522,통일전 은행나무길,https://tong.visitkorea.or.kr/cms/resource/21/3566021_image2_1.jpg,,경상북도 경주시 칠불암길 6 (남산동),,,,통일전 은행나무길은 경주시의 대표적인 가을 명소로 손꼽히는 곳이라고 할 수 있다. 신라의 삼국통일 정신과 화랑의 호국정신을 기리고 이를 이어받아 나라의 정신적 지주로 삼기 위하여 조성한 길이다. 근방에 삼국통일의 정신을 계승하기 위하여 건립된 통일 전부터 시작되어 직선으로 광활하게 펼쳐진 도로 양옆으로 은행나무 가로수가 늘어서 있는 형태이다. 은행이 절정으로 물드는 10월 말부터 11월 초까지 가을의 정취를 느낄 수 있기 때문에 경주 지역 주민들뿐만 아니라 외지인들도 많이 방문하기도 한다. 또한 통일전으로 올라가 누각 위에서 통일전 은행나무길 전체의 풍광을 한눈에 담을 수 있다.,경주문화관광 https://www.gyeongju.go.kr/tour,129.2422734978,35.7981980832,3336522,12,
2905411,감포이견대카페,https://tong.visitkorea.or.kr/cms/resource/93/2905393_image2_1.jpg,,경상북도 경주시 동해안로 1488,,,,"감포이견대카페는 경상북도 경주시 감포읍 대본리에 위치한 카페이다. 이국적인 멋을 풍기는 외관과 고급스러운 분위기의 인테리어가 돋보이며, 넓고 쾌적한 실내에는 단체석이 마련되어 있어 각종 모임 장소로 이용하기 좋다. 대표 메뉴는 티라미수이며, 부드러운 식감과 달콤한 맛으로 많은 사람들이 찾는다. 이 밖에 아보카도 크림라테, 아보카도 스무디, 아메리카노, 카페라테, 콜드브루 등 다양한 음료가 준비되어 있어 취향에 따라 즐길 수 있다. 커피와 디저트를 함께 맛보며 여유로운 시간을 보내기 좋은 곳이다. 동경주 IC에서 가깝고 주변에 경주문무대왕릉과 나정고운모래해변이 있다.",,129.4847066021,35.7453571102,2905411,39,
3032563,불리단길,https://tong.visitkorea.or.kr/cms/resource/47/3032547_image2_1.jpg,,경상북도 경주시 불국신택지5길 11 (진현동),,,,"불리단길은 경주 진현로 일대에 조성된 문화거리로, 불국사 상가시장과 토함산 자락의 마을 골목을 중심으로 형성되어 있다. 과거 관광객들이 많이 찾던 지역이었으며, 최근에는 도시재생사업을 통해 카페와 음식점, 공방, 갤러리 등이 들어서며 새로운 문화공간으로 자리 잡고 있다. 봄에는 겹벚꽃 명소로 알려져 있으며, 플리마켓과 전시, 체험 프로그램 등 다양한 문화행사가 열린다. 거리 곳곳에는 전통적인 분위기의 건물과 개성 있는 상점들이 어우러져 있으며, 인근 벽화마을에서는 다채로운 거리 예술도 감상할 수 있다. 불국사와 토함산을 찾는 여행객들이 함께 둘러보기 좋은 경주의 대표 문화거리이다.",,129.3270359029,35.7844260634,3032563,12,
3032652,두송녹색농촌체험마을,https://tong.visitkorea.or.kr/cms/resource/31/3032631_image2_1.jpg,,경상북도 경주시 송전기곡길 15-12,,,,"두송녹색농촌체험마을은 폐교를 리모델링한 곳으로 다양한 체험과 숙박을 함께 할 수 있는 농림부지원 교육체험 학습장이다. 캠핑을 할 수 있는 야외 데크와 교실을 리모델링한 숙박시설, 60평 대형강당으로 구성되었으며 천연잔디로 조성된 150평 규모의 야외행사장은 각종 축구장, 농구장 등 운동시설이 준비되어 있다. 친구, 가족 단위 캠핑은 물론 학생, 모임, 직장 단체 수련회 등 단체 방문이 가능하다. 수영장과 야외 미끄럼틀, 숲 속 원두막, 바베큐장 시설이 갖추어져 있어 자연 속 휴식을 취할 수 있는 공간이다.",www.dusonggreen.kr,129.4279153692,35.7656991349,3032652,12,
3032662,보불ATV체험장,https://tong.visitkorea.or.kr/cms/resource/54/3032654_image2_1.jpg,,경북 경주시 천군동 60-7,,,,"보불ATV체험장은 경주에 위치한 사륜바이크(ATV) 체험장으로, 다양한 코스를 갖추고 있어 색다른 레저 활동을 즐길 수 있는 곳이다. 이용자의 연령과 운전 경험을 고려해 적합한 차량을 배정하며, 체험 전 안전교육과 주행 연습을 진행한 뒤 코스를 이용할 수 있다. 코스는 언덕길과 숲길, 계곡 인근 구간 등으로 구성되어 있으며, 숙련도에 따라 다양한 난이도의 주행을 경험할 수 있다. 또한 체험 중 사진 촬영 서비스를 제공해 활동 모습을 기록할 수 있다. 경주의 문화유산 관광과 함께 즐길 수 있는 이색 체험 공간으로 많은 여행객이 찾고 있다.",,129.299327,35.831666,3032662,28,
2910090,무릉관광농원,http://tong.visitkorea.or.kr/cms/resource/77/2910077_image2_1.jpg,,경상북도 경주시 강동면 호국로 3150-42,,,,"무릉관광농원은 경북 경주시 강동면 호명리에 자리 잡았다. 캠핑장은 형산강 변에 자리했을 뿐만 아니라 많은 수목이 식재돼 있어 더없이 자연친화적인 느낌이다. 캠핑장에는 파쇄석 15면, 자갈 6면, 데크 3면, 마사토 1면으로 이뤄진 사이트 등 모두 25면의 오토캠핑 사이트가 마련돼 있다. 놀이기구가 있는 체험빌리지를 비롯해 수영장, 산책로 등 알찬 부대시설도 갖춰져 있다.",,129.2471965359,35.9855885427,2910090,28,
